key,source,sample_index,sample_id,model,persona,trial,split,status,outer_turns,declared_turns,calls,receipts,batches,multi_batches,reordered_batches,recorded_updates,structural_issues,state_issues,goal_supported,goal_known,effect_final,effect_ever_true,observed_regression_candidate,ever_true_final_false_candidate,ted_final_progress,ted_final_full,ted_auc,ted_ppt,completed_subgoals,subgoals,reported_full_effect_false_candidate,raw_effect_progress,recorded_progress
gpt_4_1/expert/0/add_contact_with_name_and_phone_number,toolsandbox/gpt_4_1/expert/trial_0_results.json,0,add_contact_with_name_and_phone_number,gpt_4_1,expert,0,dev,success,2,2,1,1,1,0,0,1,,,True,True,True,True,False,False,1.0,True,1.0,1.0,2,2,False,"[true, true, true]","[1.0, 1.0]"
gpt_4_1/expert/0/add_reminder_content_and_date_and_time,toolsandbox/gpt_4_1/expert/trial_0_results.json,1,add_reminder_content_and_date_and_time,gpt_4_1,expert,0,dev,success,2,2,2,2,2,0,0,1,,,False,False,,,,,1.0,True,1.0,1.0,2,2,False,[],"[1.0, 1.0]"
gpt_4_1/expert/0/add_reminder_content_and_week_delta_and_time,toolsandbox/gpt_4_1/expert/trial_0_results.json,2,add_reminder_content_and_week_delta_and_time,gpt_4_1,expert,0,dev,success,1,1,4,4,4,0,0,1,,,False,False,,,,,1.0,True,1.0,1.0,2,2,False,[],[1.0]
gpt_4_1/expert/0/add_reminder_content_and_weekday_delta_and_time,toolsandbox/gpt_4_1/expert/trial_0_results.json,3,add_reminder_content_and_weekday_delta_and_time,gpt_4_1,expert,0,dev,success,1,1,4,4,4,0,0,1,,,False,False,,,,,1.0,True,1.0,1.0,2,2,False,[],[1.0]
gpt_4_1/expert/0/cellular_off,toolsandbox/gpt_4_1/expert/trial_0_results.json,4,cellular_off,gpt_4_1,expert,0,dev,success,1,1,1,1,1,0,0,1,,,True,True,True,True,False,False,1.0,True,1.0,1.0,2,2,False,"[true, true]",[1.0]
gpt_4_1/expert/0/convert_currency,toolsandbox/gpt_4_1/expert/trial_0_results.json,5,convert_currency,gpt_4_1,expert,0,dev,success,1,1,1,1,1,0,0,0,,,False,False,,,,,1.0,True,1.0,1.0,1,1,False,[],[1.0]
gpt_4_1/expert/0/find_address_with_lat_lon,toolsandbox/gpt_4_1/expert/trial_0_results.json,6,find_address_with_lat_lon,gpt_4_1,expert,0,dev,success,2,2,1,1,1,0,0,0,,,False,False,,,,,1.0,True,1.0,1.0,2,2,False,[],"[1.0, 1.0]"
gpt_4_1/expert/0/find_current_city_low_battery_mode,toolsandbox/gpt_4_1/expert/trial_0_results.json,7,find_current_city_low_battery_mode,gpt_4_1,expert,0,dev,success,5,5,8,8,8,0,0,3,,,False,False,,,,,1.0,True,0.7449,0.25,7,7,False,[],"[0.0, 0.1429, 0.5714, 1.0, 1.0]"
gpt_4_1/expert/0/find_days_till_holiday,toolsandbox/gpt_4_1/expert/trial_0_results.json,8,find_days_till_holiday,gpt_4_1,expert,0,dev,success,1,1,3,3,2,1,0,0,,,False,False,,,,,1.0,True,1.0,1.0,4,4,False,[],[1.0]
gpt_4_1/expert/0/find_days_till_holiday_wifi_off,toolsandbox/gpt_4_1/expert/trial_0_results.json,9,find_days_till_holiday_wifi_off,gpt_4_1,expert,0,dev,success,2,2,6,6,4,2,0,1,,,False,False,,,,,1.0,True,0.9428571428571428,0.5,5,5,False,[],"[0.2, 1.0]"
gpt_4_1/expert/0/find_stock_symbol_with_company_name,toolsandbox/gpt_4_1/expert/trial_0_results.json,10,find_stock_symbol_with_company_name,gpt_4_1,expert,0,dev,success,1,1,1,1,1,0,0,0,,,False,False,,,,,1.0,True,1.0,1.0,2,2,False,[],[1.0]
gpt_4_1/expert/0/find_stock_symbol_with_company_name_low_battery_mode,toolsandbox/gpt_4_1/expert/trial_0_results.json,11,find_stock_symbol_with_company_name_low_battery_mode,gpt_4_1,expert,0,dev,success,1,1,6,6,6,0,0,2,,,False,False,,,,,1.0,True,1.0,1.0,5,5,False,[],[1.0]
gpt_4_1/expert/0/find_thanksgiving_timestamp,toolsandbox/gpt_4_1/expert/trial_0_results.json,12,find_thanksgiving_timestamp,gpt_4_1,expert,0,dev,success,1,1,1,1,1,0,0,0,,,False,False,,,,,1.0,True,1.0,1.0,1,1,False,[],[1.0]
gpt_4_1/expert/0/get_cellular,toolsandbox/gpt_4_1/expert/trial_0_results.json,13,get_cellular,gpt_4_1,expert,0,dev,success,3,3,1,1,1,0,0,0,,,False,False,,,,,1.0,True,0.9285714285714285,0.5,2,2,False,[],"[0.0, 1.0, 1.0]"
