key,source,sample_index,sample_id,model,persona,trial,split,namespace,target_id,structural_issues,state_issues,clock_reason,clock_offset,target_epochs,content_final,time_final,effect_final,effect_ever_true,observed_regression,ever_true_final_false,initial_preserved_final,initial_preservation_ever_false,new_object_count,source_status,source_progress,source_full,source_full_effect_false_candidate,effect_history,calls
gpt_4_1/expert/0/add_reminder_content_and_date_and_time,toolsandbox/gpt_4_1/expert/trial_0_results.json,1,add_reminder_content_and_date_and_time,gpt_4_1,expert,0,dev,REMINDER,,,,receipt_clock_mapping,28800,[1711098000.0],True,True,True,True,False,False,True,False,1,success,1.0,True,False,"[false, true, true, true]",2
gpt_4_1/expert/0/add_reminder_content_and_week_delta_and_time,toolsandbox/gpt_4_1/expert/trial_0_results.json,2,add_reminder_content_and_week_delta_and_time,gpt_4_1,expert,0,dev,REMINDER,,,,receipt_clock_mapping,28800,[1758099600.0],True,True,True,True,False,False,True,False,1,success,1.0,True,False,"[false, false, false, true, true]",4
gpt_4_1/expert/0/add_reminder_content_and_weekday_delta_and_time,toolsandbox/gpt_4_1/expert/trial_0_results.json,3,add_reminder_content_and_weekday_delta_and_time,gpt_4_1,expert,0,dev,REMINDER,,,,receipt_clock_mapping,28800,"[1758272400.0, 1758877200.0]",True,True,True,True,False,False,True,False,1,success,1.0,True,False,"[false, false, false, true, true]",4
gpt_4_1/expert/0/modify_contact_with_message_recency,toolsandbox/gpt_4_1/expert/trial_0_results.json,15,modify_contact_with_message_recency,gpt_4_1,expert,0,dev,CONTACT,e3570ab6-0819-5032-be1e-2b366390c8ef,,,,,null,,,False,False,False,False,False,True,0,success,0.6,False,False,"[false, false, false, false, false]",4
gpt_4_1/expert/0/send_message_with_contact_content_cellular_off,toolsandbox/gpt_4_1/expert/trial_0_results.json,28,send_message_with_contact_content_cellular_off,gpt_4_1,expert,0,dev,MESSAGING,,,,,,null,True,,True,True,False,False,True,False,1,success,1.0,True,False,"[false, false, false, false, true, true]",5
gpt_4_1/expert/0/send_message_with_phone_number_and_content,toolsandbox/gpt_4_1/expert/trial_0_results.json,29,send_message_with_phone_number_and_content,gpt_4_1,expert,0,dev,MESSAGING,,,,,,null,True,,True,True,False,False,True,False,1,success,1.0,True,False,"[true, true]",1
gpt_4_1/expert/1/add_reminder_content_and_date_and_time,toolsandbox/gpt_4_1/expert/trial_1_results.json,1,add_reminder_content_and_date_and_time,gpt_4_1,expert,1,dev,REMINDER,,,,receipt_clock_mapping,28800,[1711098000.0],True,True,True,True,False,False,True,False,1,success,1.0,True,False,"[false, true, true]",2
gpt_4_1/expert/1/add_reminder_content_and_week_delta_and_time,toolsandbox/gpt_4_1/expert/trial_1_results.json,2,add_reminder_content_and_week_delta_and_time,gpt_4_1,expert,1,dev,REMINDER,,,,receipt_clock_mapping,28800,[1758099600.0],True,True,True,True,False,False,True,False,1,success,1.0,True,False,"[false, false, false, true, true]",4
gpt_4_1/expert/1/add_reminder_content_and_weekday_delta_and_time,toolsandbox/gpt_4_1/expert/trial_1_results.json,3,add_reminder_content_and_weekday_delta_and_time,gpt_4_1,expert,1,dev,REMINDER,,,,receipt_clock_mapping,28800,"[1758272400.0, 1758877200.0]",True,True,True,True,False,False,True,False,1,success,1.0,True,False,"[false, false, false, true, true, true]",4
gpt_4_1/expert/1/modify_contact_with_message_recency,toolsandbox/gpt_4_1/expert/trial_1_results.json,15,modify_contact_with_message_recency,gpt_4_1,expert,1,dev,CONTACT,e3570ab6-0819-5032-be1e-2b366390c8ef,,,,,null,,,False,False,False,False,False,True,0,success,0.8,False,False,"[false, false, false, false, false, false]",5
gpt_4_1/expert/1/send_message_with_contact_content_cellular_off,toolsandbox/gpt_4_1/expert/trial_1_results.json,28,send_message_with_contact_content_cellular_off,gpt_4_1,expert,1,dev,MESSAGING,,,,,,null,True,,True,True,False,False,True,False,1,success,1.0,True,False,"[false, false, false, false, true, true]",5
gpt_4_1/expert/1/send_message_with_phone_number_and_content,toolsandbox/gpt_4_1/expert/trial_1_results.json,29,send_message_with_phone_number_and_content,gpt_4_1,expert,1,dev,MESSAGING,,,,,,null,True,,True,True,False,False,True,False,1,success,0.5,False,False,"[true, true, true]",1
gpt_4_1/nonexpert/0/add_reminder_content_and_date_and_time,toolsandbox/gpt_4_1/nonexpert/trial_0_results.json,1,add_reminder_content_and_date_and_time,gpt_4_1,nonexpert,0,dev,REMINDER,,,,receipt_clock_mapping,28800,[1711098000.0],True,True,True,True,False,False,True,False,1,success,1.0,True,False,"[false, false, false, false, true, true]",2
gpt_4_1/nonexpert/0/add_reminder_content_and_week_delta_and_time,toolsandbox/gpt_4_1/nonexpert/trial_0_results.json,2,add_reminder_content_and_week_delta_and_time,gpt_4_1,nonexpert,0,dev,REMINDER,,,,missing_current_timestamp_anchor,28800,null,True,,,False,False,,True,False,1,success,0.5,False,False,"[false, false, false, null, null, null]",2
gpt_4_1/nonexpert/0/add_reminder_content_and_weekday_delta_and_time,toolsandbox/gpt_4_1/nonexpert/trial_0_results.json,3,add_reminder_content_and_weekday_delta_and_time,gpt_4_1,nonexpert,0,dev,REMINDER,,,,receipt_clock_mapping,28800,"[1758272400.0, 1758877200.0]",False,,False,False,False,False,True,False,0,success,0.5,False,False,"[false, false, false, false, false, false, false]",2
gpt_4_1/nonexpert/0/modify_contact_with_message_recency,toolsandbox/gpt_4_1/nonexpert/trial_0_results.json,14,modify_contact_with_message_recency,gpt_4_1,nonexpert,0,dev,CONTACT,e3570ab6-0819-5032-be1e-2b366390c8ef,,,,,null,,,False,False,False,False,False,True,0,success,0.6,False,False,"[false, false, false, false, false]",3
gpt_4_1/nonexpert/0/send_message_with_contact_content_cellular_off,toolsandbox/gpt_4_1/nonexpert/trial_0_results.json,27,send_message_with_contact_content_cellular_off,gpt_4_1,nonexpert,0,dev,MESSAGING,,,,,,null,False,,False,False,False,False,True,False,1,success,1.0,True,True,"[false, false, false, false, false, false, false]",5
gpt_4_1/nonexpert/0/send_message_with_phone_number_and_content,toolsandbox/gpt_4_1/nonexpert/trial_0_results.json,28,send_message_with_phone_number_and_content,gpt_4_1,nonexpert,0,dev,MESSAGING,,,,,,null,True,,True,True,False,False,True,False,1,success,1.0,True,False,"[true, true, true]",1
gpt_4_1/nonexpert/1/add_reminder_content_and_date_and_time,toolsandbox/gpt_4_1/nonexpert/trial_1_results.json,1,add_reminder_content_and_date_and_time,gpt_4_1,nonexpert,1,dev,REMINDER,,,,receipt_clock_mapping,28800,[1711098000.0],True,True,True,True,False,False,True,False,2,success,1.0,True,False,"[false, false, false, false, false, false, false, false, false, true, true, true]",4
gpt_4_1/nonexpert/1/add_reminder_content_and_week_delta_and_time,toolsandbox/gpt_4_1/nonexpert/trial_1_results.json,2,add_reminder_content_and_week_delta_and_time,gpt_4_1,nonexpert,1,dev,REMINDER,,,,receipt_clock_mapping,28800,[1758099600.0],False,,False,False,False,False,True,False,1,success,1.0,True,True,"[false, false, false, false, false, false, false]",4
gpt_4_1/nonexpert/1/add_reminder_content_and_weekday_delta_and_time,toolsandbox/gpt_4_1/nonexpert/trial_1_results.json,3,add_reminder_content_and_weekday_delta_and_time,gpt_4_1,nonexpert,1,dev,REMINDER,,,,receipt_clock_mapping,28800,"[1758272400.0, 1758877200.0]",True,True,True,True,False,False,True,False,1,success,1.0,True,False,"[false, false, false, false, false, false, false, true, true]",4
gpt_4_1/nonexpert/1/modify_contact_with_message_recency,toolsandbox/gpt_4_1/nonexpert/trial_1_results.json,14,modify_contact_with_message_recency,gpt_4_1,nonexpert,1,dev,CONTACT,e3570ab6-0819-5032-be1e-2b366390c8ef,,,,,null,,,False,False,False,False,False,True,0,success,0.6,False,False,"[false, false, false, false, false, false]",3
gpt_4_1/nonexpert/1/send_message_with_contact_content_cellular_off,toolsandbox/gpt_4_1/nonexpert/trial_1_results.json,27,send_message_with_contact_content_cellular_off,gpt_4_1,nonexpert,1,dev,MESSAGING,,,,,,null,False,,False,False,False,False,True,False,1,success,1.0,True,True,"[false, false, false, false, false, false, false, false]",5
gpt_4_1/nonexpert/1/send_message_with_phone_number_and_content,toolsandbox/gpt_4_1/nonexpert/trial_1_results.json,28,send_message_with_phone_number_and_content,gpt_4_1,nonexpert,1,dev,MESSAGING,,,,,,null,True,,True,True,False,False,True,False,1,success,0.5,False,False,"[true, true, true]",1
gpt_4o/expert/0/add_reminder_content_and_date_and_time,toolsandbox/gpt_4o/expert/trial_0_results.json,1,add_reminder_content_and_date_and_time,gpt_4o,expert,0,dev,REMINDER,,,,receipt_clock_mapping,28800,[1711098000.0],True,True,True,True,False,False,True,False,1,success,1.0,True,False,"[false, true, true]",2
gpt_4o/expert/0/add_reminder_content_and_week_delta_and_time,toolsandbox/gpt_4o/expert/trial_0_results.json,2,add_reminder_content_and_week_delta_and_time,gpt_4o,expert,0,dev,REMINDER,,,,receipt_clock_mapping,28800,[1758099600.0],True,True,True,True,False,False,True,False,1,success,1.0,True,False,"[false, false, false, true, true]",4
gpt_4o/expert/0/add_reminder_content_and_weekday_delta_and_time,toolsandbox/gpt_4o/expert/trial_0_results.json,3,add_reminder_content_and_weekday_delta_and_time,gpt_4o,expert,0,dev,REMINDER,,,,receipt_clock_mapping,28800,"[1758272400.0, 1758877200.0]",True,False,False,False,False,False,True,False,1,success,1.0,True,True,"[false, false, false, false, false]",4
gpt_4o/expert/0/modify_contact_with_message_recency,toolsandbox/gpt_4o/expert/trial_0_results.json,15,modify_contact_with_message_recency,gpt_4o,expert,0,dev,CONTACT,e3570ab6-0819-5032-be1e-2b366390c8ef,,,,,null,,,True,True,False,False,True,False,0,success,1.0,True,False,"[false, false, false, true, true]",4
gpt_4o/expert/0/send_message_with_contact_content_cellular_off,toolsandbox/gpt_4o/expert/trial_0_results.json,28,send_message_with_contact_content_cellular_off,gpt_4o,expert,0,dev,MESSAGING,,,,,,null,True,,True,True,False,False,True,False,1,success,1.0,True,False,"[false, false, false, false, true, true]",5
gpt_4o/expert/0/send_message_with_phone_number_and_content,toolsandbox/gpt_4o/expert/trial_0_results.json,29,send_message_with_phone_number_and_content,gpt_4o,expert,0,dev,MESSAGING,,,,,,null,True,,True,True,False,False,True,False,1,success,0.5,False,False,"[true, true]",1
gpt_4o/expert/1/add_reminder_content_and_date_and_time,toolsandbox/gpt_4o/expert/trial_1_results.json,1,add_reminder_content_and_date_and_time,gpt_4o,expert,1,dev,REMINDER,,,,receipt_clock_mapping,28800,[1711098000.0],True,True,True,True,False,False,True,False,1,success,1.0,True,False,"[false, true, true]",2
gpt_4o/expert/1/add_reminder_content_and_week_delta_and_time,toolsandbox/gpt_4o/expert/trial_1_results.json,2,add_reminder_content_and_week_delta_and_time,gpt_4o,expert,1,dev,REMINDER,,,,receipt_clock_mapping,28800,[1758099600.0],True,True,True,True,False,False,True,False,1,success,1.0,True,False,"[false, false, false, true, true]",4
gpt_4o/expert/1/add_reminder_content_and_weekday_delta_and_time,toolsandbox/gpt_4o/expert/trial_1_results.json,3,add_reminder_content_and_weekday_delta_and_time,gpt_4o,expert,1,dev,REMINDER,,,,receipt_clock_mapping,28800,"[1758272400.0, 1758877200.0]",True,False,False,False,False,False,True,False,1,success,1.0,True,True,"[false, false, false, false, false, false]",4
gpt_4o/expert/1/modify_contact_with_message_recency,toolsandbox/gpt_4o/expert/trial_1_results.json,15,modify_contact_with_message_recency,gpt_4o,expert,1,dev,CONTACT,e3570ab6-0819-5032-be1e-2b366390c8ef,,,,,null,,,True,True,False,False,True,False,0,success,1.0,True,False,"[false, false, false, true, true]",4
gpt_4o/expert/1/send_message_with_contact_content_cellular_off,toolsandbox/gpt_4o/expert/trial_1_results.json,28,send_message_with_contact_content_cellular_off,gpt_4o,expert,1,dev,MESSAGING,,,,,,null,True,,True,True,False,False,True,False,1,success,1.0,True,False,"[false, false, false, false, true, true]",5
gpt_4o/expert/1/send_message_with_phone_number_and_content,toolsandbox/gpt_4o/expert/trial_1_results.json,29,send_message_with_phone_number_and_content,gpt_4o,expert,1,dev,MESSAGING,,,,,,null,True,,True,True,False,False,True,False,1,success,1.0,True,False,"[true, true]",1
